Carotte,Bonduel,Légume orange riche en protéines,"1,00",Légume
Poireau,Géant Vert,Légume vert plein de fibre,"1,20",Légume
Citrouille,Cascina Belvedere,Légume orange parfait pour les fêtes d'Halloween,"1,95",Légume
Brie,Président,Fromage de caractère au lait de vache,"16,50",Produit laitier
Comté,Entremont,Fromage au lait cru,"15,05",Produit laitier
Lait,Candia,Produit laitier semi-écrémé,"0,70",Produit laitier
Bière,Chouffe,Boisson alcoolisée à base d'orge et d'houblon,"3,78",Boisson
Eau,Evian,Eau de source,"0,57",Boisson
Coca,Coca cola,Boisson gazeuse sucrée,"1,10",Boisson
Javel,Monsieur Propre,Solution liquide oxydante désinfectante et décolorante,"7,92",Produit entretien
Lave vitre,Kärcher,Solution nettoyante spéciale fenêtre,"3,71",Produit entretien
Liquide vaisselle,Paic,Liquide vaisselle super dégraissant,"9,23",Produit entretien
Parfum,Channel,Fragrance délicate et boisée,"56,48",Cosmétique
Rouge à lèvre,Velvet,Produit de cosmétique permettant de souligner les lèvres,"34,50",Cosmétique
Fond de teint,Maybelline,Produit cosmétique permettant d'unifier et de protéger l'épiderme,"28,90",Cosmétique
Television HD,Samsung,Poste de télévision permettant l'emission et la reception de séquences audiovisuelles,"299,99",High-tech
Smartphone,Sony,GSM nouvelle génération,"149,90",High-tech
Rasoir éléctrique,Phillips,Rasoir performant et plus ergonomique pour un meilleur rasage de la moustache,"72,04",High-tech
Carotte,Grand Frais,Légume orange riche en protéines,"1,20",Légume
Poireau,Cassegrin,Légume vert plein de fibre,"1,04",Légume
Citrouille,Nos régions ont du talent,Légume orange parfait pour les fêtes d'Halloween,"2,25",Légume
Brie,Coeur de lion,Fromage de caractère au lait de vache,"14,99",Produit laitier
Comté,Juraflore,Fromage au lait cru,"12,50",Produit laitier
Lait,Lactel,Produit laitier semi-écrémé,"0,98",Produit laitier
Bière,Kronenbourg,Boisson alcoolisée à base d'orge et d'houblon,"1,25",Boisson
Eau,Vittel,Eau de source,"0,48",Boisson
Coca,Pepsi,Boisson gazeuse sucrée,"1,02",Boisson
Javel,Saint Marc,Solution liquide oxydante désinfectante et décolorante,"6,54",Produit entretien
Lave vitre,Ecovacs,Solution nettoyante spéciale fenêtre,"2,60",Produit entretien
Liquide vaisselle,Mir,Liquide vaisselle super dégraissant,"12,60",Produit entretien
Parfum,Dior,Fragrance délicate et boisée,"46,38",Cosmétique
Rouge à lèvre,L'Oreal,Produit de cosmétique permettant de souligner les lèvres,"41,20",Cosmétique
Fond de teint,Bourjois,Produit cosmétique permettant d'unifier et de protéger l'épiderme,"32,50",Cosmétique
